All,모두
None,없음
"Allowed Scopes","허용 범위"
"You need more permissions to delete this item(s): %1.","삭제 권한이 없습니다: %1."
"You need more permissions to apply some of the rule updates.","이 규칙 업데이트 중 일부를 적용하려면 추가 권한이 필요합니다."
"Please assign this entity to a store view.","상점 뷰에 이 속성을 할당해주세요."
"You can create orders only in an active store.","활성화된 스토어에서만 주문을 생성할 수 있습니다."
"Please assign this item to a store view.","스토어뷰에 이 항목을 할당해 주십시오."
"You need more permissions to save this item.","저장할 권한이 없습니다."
"You need more permissions to delete this item.","삭제할 권한이 없습니다."
"You need more permissions to view this item.","볼수있는 권한이 없습니다."
"Please specify at least one website or one store group.","최소 하나 이상의 웹사이트나 스토어 그룹을 지정해 주십시오."
"You need more permissions to set All Scopes to a Role.","역할에 전체 범위를 설정하려면 더 많은 권한이 필요합니다."
"Incorrect website ID: %1","잘못된 웹사이트 ID: %1"
"You need more permissions to access website ""%1"".","웹사이트 ""%1""에 접근하려면 추가 권한이 필요합니다."
"Incorrect store ID: %1","잘못된 스토어 ID: %1"
"You need more permissions to save this setting.","설정을 저장할 권한이 없습니다."
"Role Scopes","역할 범위"
Custom,"사용자 정의"
"More permissions are needed to save this item.","상품을 저장하려면 추가 권한이 필요합니다."
"More permissions are needed to delete this item.","상품을 제거하려면 추가 권한이 필요합니다."
"More permissions are needed to view this item.","상품을 조회하려면 추가 권한이 필요합니다."
"Read Details","상세 보기"
"Mark as Read","읽음으로 표시"
"Are you sure?",확실합니까?
Remove,삭제
"Messages Inbox","받은 메시지함"
"You have %1 new system messages","%1개의 새로운 시스템 메시지가 있습니다."
"You have %1 new system message","%1개의 새로운 시스템 메시지가 있습니다."
"Incoming Message","받은 메시지"
close,닫기
Notifications,알림
"The message has been marked as Read.","메시지를 읽은 상태로 표시했습니다."
"We couldn't mark the notification as Read because of an error.","오류로 인해 이 알림을 읽은 상태로 표시할 수 없습니다."
"Please select messages.","메시지를 선택해주세요."
"A total of %1 record(s) have been marked as Read.","모두 %1개의 레코드를 읽은 상태로 표시했습니다."
"Total of %1 record(s) have been removed.","모두 %1개의 레코드를 삭제했습니다."
"We couldn't remove the messages because of an error.","오류로 인해 이 메시지를 삭제할 수 없습니다."
"The message has been removed.","메시지를 삭제했습니다."
"1 Hour",1시간
"2 Hours",2시간
"6 Hours",6시간
"12 Hours",12시간
"24 Hours",24시간
critical,심각
major,중요함
minor,사소함
notice,알림
"Wrong message type","잘못된 메시지 타입"
"Wrong notification ID specified.","잘못된 알림 ID을 지정했습니다."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","프로덕션 환경에서 Base Unsecure URL / Base Secure URL을 정의하는데 {{base_url}} 를 사용하지 않는 것이 좋습니다. 마젠토 <a href=""%1"">설정</a>에서 이 값을 수정하시는 것이 매우 좋습니다."
"One or more of the Cache Types are invalidated: %1. ","하나 이상의 캐쉬 유형이 무효화되었습니다: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","<a href=""%1"">캐쉬 관리</a>로 가서 캐쉬 타입을 갱신해 주시기 바랍니다."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","하나 이상의 미디어 파일을 동기화하지 못했습니다. 상세 내용은 로그 파일을 참조해주세요."
"Synchronization of media storages has been completed.","미디어 저장소 동기화를 완료했습니다."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","웹서버가 잘못 설정되어 중요한 파일에 인증되지 않은 접근을 허용하고 있습니다. 호스팅 제공업체에 문의하세요."
"System Messages:","시스템 메시지:"
"Critical System Messages","Critical 시스템 메시지"
"Major System Messages","Major 시스템 메시지"
"System messages","시스템 메시지"
Close,닫기
"See All (","모두 보기 ("
" unread)"," 읽지않음)"
"Show Toolbar","도구 모음 보기"
"Show List","목록 보기"
"Use HTTPS to Get Feed","피드를 가져올 때 HTTPS 사용하기"
"Update Frequency","업데이트 빈도"
"Last Update","마지막 업데이트"
Message,메세지
Actions,동작
"Close popup","팝업 닫기"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","당신이 볼 수 있고 모든 최근 시스템 통지를 해결. 제발 통지 경고를 웹 페이지를 새로 고칩니다."
"Manage Shopping Cart","장바구니 관리"
"Create Order","주문 생성"
Back,이전
"Add Products","상품 추가"
"Update Items and Quantities","항목 및 수량 업데이트"
"Are you sure you want to clear your cart?","정말로 장바구니를 비우시겠습니까?"
"Clear my shopping cart","장바구니 비우기"
"Add selections to my cart","내 장바구니에 선택 추가"
Cancel,취소
"Shopping Cart for %1 in %2","%2 에서 %1에 대한 장바구니"
"Select products you want to buy","구매하려는 상품 선택"
Product,상품
Price,가격
Quantity,수량
"Products in the Comparison List (%1)","비교리스트 상품 (%1)"
"Last ordered items (%1)","최근 주문한 항목 (%1)"
Products,상품
"Recently Compared Products (%1)","최근 비교한 상품 (%1)"
"Recently Viewed Products (%1)","최근 본 상품 (%1)"
"Add to Shopping Cart by SKU","SKU로 장바구니에 추가"
"Add to Shopping Cart","장바구니에 추가"
"Wish List (%1)","위시리스트 (%1)"
Apply,적용
Configure,설정
"Add to Order by SKU","SKU로 주문에 추가"
"Add to Order","주문에 추가"
"Add Products to Order","주문에 상품 추가"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span>개의 상품은 주의가 필요합니다.</span>"
"Remove All","모두 삭제"
"Only %1%2%3 left in stock","%1%2%3만 재고 있음"
"You can buy up to %1 of these per purchase.","최대 구매수량은 %1개 입니다."
"You must buy at least %1 of these per purchase.","최소 구매 수량은 %1개 입니다."
